",date,date1,Borough,code,Retail,Grocery,Parks,Transit,Workplace,Residential"
"0,2022-10-15,44849,Kingston upon Thames,E09000021,-20,-3,69,-5,-1,1"
"1,2022-10-15,44849,Hammersmith and Fulham,E09000013,-30,-9,3,-31,-23,1"
"2,2022-10-15,44849,Hackney,E09000012,-24,-8,-8,-24,-17,0"
"3,2022-10-15,44849,Barking and Dagenham,E09000002,-17,2,27,-6,-19,0"
"4,2022-10-15,44849,Tower Hamlets,E09000030,-13,-2,-9,-17,-9,0"
"5,2022-10-15,44849,Lewisham,E09000023,-8,-1,-15,-17,-17,1"
"6,2022-10-15,44849,Islington,E09000019,-31,-5,-10,-49,-12,0"
"7,2022-10-15,44849,Bexley,E09000004,-17,5,32,-26,-12,1"
"8,2022-10-15,44849,Wandsworth,E09000032,-26,-16,41,-18,-8,0"
"9,2022-10-15,44849,Haringey,E09000014,0,-10,-16,4,-26,0"
"10,2022-10-15,44849,Enfield,E09000010,-21,-9,10,-25,-15,1"
"11,2022-10-15,44849,Sutton,E09000029,-17,0,3,-29,-11,0"
"12,2022-10-15,44849,Merton,E09000024,-24,-10,-15,-5,-12,0"
"13,2022-10-15,44849,Havering,E09000016,-13,0,-7,-10,-5,0"
"14,2022-10-15,44849,Brent,E09000005,-11,0,24,-12,-12,0"
"15,2022-10-15,44849,Hounslow,E09000018,-9,14,-2,6,-2,0"
"16,2022-10-15,44849,Camden,E09000007,-21,-5,-14,14,-9,0"
"17,2022-10-15,44849,Greenwich,E09000011,-5,4,-18,3,-12,1"
"18,2022-10-15,44849,Harrow,E09000015,-13,18,47,6,5,0"
"19,2022-10-15,44849,Ealing,E09000009,-11,-4,15,-13,-12,0"
"20,2022-10-15,44849,Southwark,E09000028,-22,-8,-8,1,-4,-1"
"21,2022-10-15,44849,Newham,E09000025,-22,-1,82,-8,-1,-1"
"22,2022-10-15,44849,Kensington and Chelsea,E09000020,-25,9,-11,-23,-21,0"
"23,2022-10-15,44849,City of London,E09000001,-10,-42,-7,8,,"
"24,2022-10-15,44849,Bromley,E09000006,-17,6,-10,-14,-2,0"
"25,2022-10-15,44849,Hillingdon,E09000017,-10,-9,144,1,-7,0"
"26,2022-10-15,44849,Redbridge,E09000026,-18,-5,-19,-17,-12,0"
"27,2022-10-15,44849,Croydon,E09000008,-20,3,1,-24,-10,0"
"28,2022-10-15,44849,Richmond upon Thames,E09000027,-23,0,-19,-18,-14,0"
"29,2022-10-15,44849,Barnet,E09000003,-16,4,-4,-13,-10,0"
"30,2022-10-15,44849,Westminster,E09000033,-24,3,-30,-8,-18,0"
"31,2022-10-15,44849,Waltham Forest,E09000031,-13,-3,-29,-19,-20,1"
"32,2022-10-15,44849,Lambeth,E09000022,-23,-9,35,0,-4,0"
"33,2022-10-14,44848,Westminster,E09000033,-37,-8,-20,-20,-39,7"
"34,2022-10-14,44848,Newham,E09000025,-18,2,135,-17,-25,4"
"35,2022-10-14,44848,Southwark,E09000028,-28,-5,-10,-25,-32,7"
"36,2022-10-14,44848,Ealing,E09000009,-10,-6,-12,-24,-30,6"
"37,2022-10-14,44848,Harrow,E09000015,-14,17,30,-9,-26,7"
"38,2022-10-14,44848,Barking and Dagenham,E09000002,-15,10,29,-11,-29,3"
"39,2022-10-14,44848,Wandsworth,E09000032,-26,-12,50,-18,-40,10"
"40,2022-10-14,44848,Hounslow,E09000018,0,3,10,-7,-26,5"
"41,2022-10-14,44848,Camden,E09000007,-30,-2,-4,-7,-41,9"
"42,2022-10-14,44848,Brent,E09000005,-15,4,10,-17,-29,5"
"43,2022-10-14,44848,Tower Hamlets,E09000030,-25,-3,-13,-32,-43,9"
"44,2022-10-14,44848,Greenwich,E09000011,-6,6,-6,-4,-38,7"
"45,2022-10-14,44848,City of London,E09000001,-57,-59,-40,-34,-30,"
"46,2022-10-14,44848,Lewisham,E09000023,-4,4,-7,-22,-39,8"
"47,2022-10-14,44848,Islington,E09000019,-41,-15,-10,-65,-48,10"
"48,2022-10-14,44848,Merton,E09000024,-26,-5,-25,-25,-34,7"
"49,2022-10-14,44848,Sutton,E09000029,-17,4,6,-35,-38,7"
"50,2022-10-14,44848,Lambeth,E09000022,-23,-6,40,-31,-37,9"
"51,2022-10-14,44848,Enfield,E09000010,-21,-5,-2,-34,-30,5"
"52,2022-10-14,44848,Haringey,E09000014,-20,-8,-13,-24,-40,6"
"53,2022-10-14,44848,Waltham Forest,E09000031,-13,-5,-14,-29,-38,6"
"54,2022-10-14,44848,Bexley,E09000004,-21,5,33,-31,-32,7"
"55,2022-10-14,44848,Kensington and Chelsea,E09000020,-29,1,-21,-31,-40,8"
"56,2022-10-14,44848,Havering,E09000016,-14,3,0,-18,-29,6"
"57,2022-10-14,44848,Barnet,E09000003,-19,-2,-1,-24,-32,7"
"58,2022-10-14,44848,Redbridge,E09000026,-17,-4,-19,-25,-38,6"
"59,2022-10-14,44848,Hillingdon,E09000017,-12,-7,140,-4,-29,5"
"60,2022-10-14,44848,Bromley,E09000006,-15,9,-5,-27,-40,8"
"61,2022-10-14,44848,Kingston upon Thames,E09000021,-23,-6,76,-18,-34,8"
"62,2022-10-14,44848,Richmond upon Thames,E09000027,-23,1,7,-29,-49,8"
"63,2022-10-14,44848,Croydon,E09000008,-20,7,-7,-25,-30,6"
"64,2022-10-14,44848,Hammersmith and Fulham,E09000013,-33,-11,-13,-36,-45,8"
"65,2022-10-14,44848,Hackney,E09000012,-25,-4,-5,-31,-38,8"
