Date,Category,Index
2020-07-01,"Film, TV, radio and photography",82
2020-08-01,"Film, TV, radio and photography",80
2020-09-01,"Film, TV, radio and photography",83
2020-10-01,"Film, TV, radio and photography",97
2020-11-01,"Film, TV, radio and photography",91
2020-12-01,"Film, TV, radio and photography",87
2021-01-01,"Film, TV, radio and photography",88
2021-02-01,"Film, TV, radio and photography",89
2021-03-01,"Film, TV, radio and photography",90
2021-04-01,"Film, TV, radio and photography",97
2021-05-01,"Film, TV, radio and photography",94
2021-06-01,"Film, TV, radio and photography",101
2021-07-01,"Film, TV, radio and photography",99
2021-08-01,"Film, TV, radio and photography",104
2021-09-01,"Film, TV, radio and photography",98
2021-10-01,"Film, TV, radio and photography",109
2021-11-01,"Film, TV, radio and photography",111
2021-12-01,"Film, TV, radio and photography",104
2022-01-01,"Film, TV, radio and photography",107
2022-02-01,"Film, TV, radio and photography",104
2022-03-01,"Film, TV, radio and photography",108
2022-04-01,"Film, TV, radio and photography",106
2022-05-01,"Film, TV, radio and photography",108
2022-06-01,"Film, TV, radio and photography",108
2019-01-01,Design and designer fashion,100
2019-02-01,Design and designer fashion,101
2019-03-01,Design and designer fashion,104
2019-04-01,Design and designer fashion,104
2019-05-01,Design and designer fashion,106
2019-06-01,Design and designer fashion,103
2019-07-01,Design and designer fashion,103
2019-08-01,Design and designer fashion,105
2019-09-01,Design and designer fashion,104
2019-10-01,Design and designer fashion,106
2019-11-01,Design and designer fashion,102
2019-12-01,Design and designer fashion,100
2020-01-01,Design and designer fashion,100
2020-02-01,Design and designer fashion,101
2020-03-01,Design and designer fashion,99
2020-04-01,Design and designer fashion,77
2020-05-01,Design and designer fashion,72
2020-06-01,Design and designer fashion,72
2020-07-01,Design and designer fashion,80
2020-08-01,Design and designer fashion,87
2020-09-01,Design and designer fashion,89
2020-10-01,Design and designer fashion,93
2020-11-01,Design and designer fashion,88
2020-12-01,Design and designer fashion,87
2021-01-01,Design and designer fashion,88
2021-02-01,Design and designer fashion,88
2021-03-01,Design and designer fashion,87
2021-04-01,Design and designer fashion,91
2021-05-01,Design and designer fashion,92
2021-06-01,Design and designer fashion,94
2021-07-01,Design and designer fashion,96
2021-08-01,Design and designer fashion,101
2021-09-01,Design and designer fashion,100
2021-10-01,Design and designer fashion,105
2021-11-01,Design and designer fashion,110
2021-12-01,Design and designer fashion,107
2022-01-01,Design and designer fashion,93
2022-02-01,Design and designer fashion,93
2022-03-01,Design and designer fashion,92
2022-04-01,Design and designer fashion,91
2022-05-01,Design and designer fashion,94
2022-06-01,Design and designer fashion,96
