Date,Category,Index
01/01/2019,UK,100
01/01/2019,Design and designer fashion,100
01/01/2019,"Film, TV, radio and photography",100
01/01/2019,"Museums, Galleries and Libraries",100
01/01/2019,"Music, performing and visual arts",100
01/02/2019,UK,100
01/02/2019,Design and designer fashion,101
01/02/2019,"Film, TV, radio and photography",98
01/02/2019,"Museums, Galleries and Libraries",108
01/02/2019,"Music, performing and visual arts",102
01/03/2019,UK,101
01/03/2019,Design and designer fashion,104
01/03/2019,"Film, TV, radio and photography",98
01/03/2019,"Museums, Galleries and Libraries",96
01/03/2019,"Music, performing and visual arts",102
01/04/2019,UK,100
01/04/2019,Design and designer fashion,104
01/04/2019,"Film, TV, radio and photography",99
01/04/2019,"Museums, Galleries and Libraries",96
01/04/2019,"Music, performing and visual arts",102
01/05/2019,UK,101
01/05/2019,Design and designer fashion,106
01/05/2019,"Film, TV, radio and photography",97
01/05/2019,"Museums, Galleries and Libraries",96
01/05/2019,"Music, performing and visual arts",104
01/06/2019,UK,101
01/06/2019,Design and designer fashion,103
01/06/2019,"Film, TV, radio and photography",99
01/06/2019,"Museums, Galleries and Libraries",98
01/06/2019,"Music, performing and visual arts",107
01/07/2019,UK,101
01/07/2019,Design and designer fashion,103
01/07/2019,"Film, TV, radio and photography",95
01/07/2019,"Museums, Galleries and Libraries",104
01/07/2019,"Music, performing and visual arts",108
01/08/2019,UK,101
01/08/2019,Design and designer fashion,105
01/08/2019,"Film, TV, radio and photography",95
01/08/2019,"Museums, Galleries and Libraries",103
01/08/2019,"Music, performing and visual arts",108
01/09/2019,UK,101
01/09/2019,Design and designer fashion,104
01/09/2019,"Film, TV, radio and photography",98
01/09/2019,"Museums, Galleries and Libraries",101
01/09/2019,"Music, performing and visual arts",102
01/10/2019,UK,101
01/10/2019,Design and designer fashion,106
01/10/2019,"Film, TV, radio and photography",99
01/10/2019,"Museums, Galleries and Libraries",102
01/10/2019,"Music, performing and visual arts",98
01/11/2019,UK,101
01/11/2019,Design and designer fashion,102
01/11/2019,"Film, TV, radio and photography",97
01/11/2019,"Museums, Galleries and Libraries",103
01/11/2019,"Music, performing and visual arts",102
01/12/2019,UK,101
01/12/2019,Design and designer fashion,100
01/12/2019,"Film, TV, radio and photography",98
01/12/2019,"Museums, Galleries and Libraries",106
01/12/2019,"Music, performing and visual arts",108
01/01/2020,UK,101
01/01/2020,Design and designer fashion,100
01/01/2020,"Film, TV, radio and photography",91
01/01/2020,"Museums, Galleries and Libraries",101
01/01/2020,"Music, performing and visual arts",105
01/02/2020,UK,100
01/02/2020,Design and designer fashion,101
01/02/2020,"Film, TV, radio and photography",93
01/02/2020,"Museums, Galleries and Libraries",97
01/02/2020,"Music, performing and visual arts",105
01/03/2020,UK,93
01/03/2020,Design and designer fashion,99
01/03/2020,"Film, TV, radio and photography",87
01/03/2020,"Museums, Galleries and Libraries",78
01/03/2020,"Music, performing and visual arts",81
01/04/2020,UK,75
01/04/2020,Design and designer fashion,77
