Date,Category,Index
01/04/2020,"Film, TV, radio and photography",70
01/04/2020,"Museums, Galleries and Libraries",49
01/04/2020,"Music, performing and visual arts",47
01/05/2020,UK,77
01/05/2020,Design and designer fashion,72
01/05/2020,"Film, TV, radio and photography",65
01/05/2020,"Museums, Galleries and Libraries",49
01/05/2020,"Music, performing and visual arts",37
01/06/2020,UK,85
01/06/2020,Design and designer fashion,72
01/06/2020,"Film, TV, radio and photography",75
01/06/2020,"Museums, Galleries and Libraries",53
01/06/2020,"Music, performing and visual arts",41
01/07/2020,UK,91
01/07/2020,Design and designer fashion,80
01/07/2020,"Film, TV, radio and photography",82
01/07/2020,"Museums, Galleries and Libraries",70
01/07/2020,"Music, performing and visual arts",46
01/08/2020,UK,94
01/08/2020,Design and designer fashion,87
01/08/2020,"Film, TV, radio and photography",80
01/08/2020,"Museums, Galleries and Libraries",68
01/08/2020,"Music, performing and visual arts",53
01/09/2020,UK,95
01/09/2020,Design and designer fashion,89
01/09/2020,"Film, TV, radio and photography",83
01/09/2020,"Museums, Galleries and Libraries",72
01/09/2020,"Music, performing and visual arts",57
01/10/2020,UK,96
01/10/2020,Design and designer fashion,93
01/10/2020,"Film, TV, radio and photography",97
01/10/2020,"Museums, Galleries and Libraries",73
01/10/2020,"Music, performing and visual arts",62
01/11/2020,UK,94
01/11/2020,Design and designer fashion,88
01/11/2020,"Film, TV, radio and photography",91
01/11/2020,"Museums, Galleries and Libraries",54
01/11/2020,"Music, performing and visual arts",66
01/12/2020,UK,95
01/12/2020,Design and designer fashion,87
01/12/2020,"Film, TV, radio and photography",87
01/12/2020,"Museums, Galleries and Libraries",54
01/12/2020,"Music, performing and visual arts",75
01/01/2021,UK,92
01/01/2021,Design and designer fashion,88
01/01/2021,"Film, TV, radio and photography",88
01/01/2021,"Museums, Galleries and Libraries",56
01/01/2021,"Music, performing and visual arts",69
01/02/2021,UK,93
01/02/2021,Design and designer fashion,88
01/02/2021,"Film, TV, radio and photography",89
01/02/2021,"Museums, Galleries and Libraries",55
01/02/2021,"Music, performing and visual arts",66
01/03/2021,UK,96
01/03/2021,Design and designer fashion,87
01/03/2021,"Film, TV, radio and photography",90
01/03/2021,"Museums, Galleries and Libraries",60
01/03/2021,"Music, performing and visual arts",71
01/04/2021,UK,98
01/04/2021,Design and designer fashion,91
01/04/2021,"Film, TV, radio and photography",97
01/04/2021,"Museums, Galleries and Libraries",66
01/04/2021,"Music, performing and visual arts",76
01/05/2021,UK,99
01/05/2021,Design and designer fashion,92
01/05/2021,"Film, TV, radio and photography",94
01/05/2021,"Museums, Galleries and Libraries",75
01/05/2021,"Music, performing and visual arts",79
01/06/2021,UK,99
01/06/2021,Design and designer fashion,94
01/06/2021,"Film, TV, radio and photography",101
01/06/2021,"Museums, Galleries and Libraries",84
01/06/2021,"Music, performing and visual arts",77
01/07/2021,UK,99
01/07/2021,Design and designer fashion,96
01/07/2021,"Film, TV, radio and photography",99
01/07/2021,"Museums, Galleries and Libraries",86
01/07/2021,"Music, performing and visual arts",81
01/08/2021,UK,99
01/08/2021,Design and designer fashion,101
01/08/2021,"Film, TV, radio and photography",104
01/08/2021,"Museums, Galleries and Libraries",96
01/08/2021,"Music, performing and visual arts",94
01/09/2021,UK,100
01/09/2021,Design and designer fashion,100
01/09/2021,"Film, TV, radio and photography",98
01/09/2021,"Museums, Galleries and Libraries",95
01/09/2021,"Music, performing and visual arts",100
01/10/2021,UK,101
01/10/2021,Design and designer fashion,105
01/10/2021,"Film, TV, radio and photography",109
01/10/2021,"Museums, Galleries and Libraries",94
01/10/2021,"Music, performing and visual arts",113
01/11/2021,UK,101
01/11/2021,Design and designer fashion,110
01/11/2021,"Film, TV, radio and photography",111
01/11/2021,"Museums, Galleries and Libraries",96
01/11/2021,"Music, performing and visual arts",119
01/12/2021,UK,101
01/12/2021,Design and designer fashion,107
01/12/2021,"Film, TV, radio and photography",104
01/12/2021,"Museums, Galleries and Libraries",97
01/12/2021,"Music, performing and visual arts",112
01/01/2022,UK,102
01/01/2022,Design and designer fashion,93
01/01/2022,"Film, TV, radio and photography",107
01/01/2022,"Museums, Galleries and Libraries",93
01/01/2022,"Music, performing and visual arts",89
01/02/2022,UK,102
01/02/2022,Design and designer fashion,93
01/02/2022,"Film, TV, radio and photography",104
01/02/2022,"Museums, Galleries and Libraries",91
01/02/2022,"Music, performing and visual arts",112
01/03/2022,UK,102
01/03/2022,Design and designer fashion,92
01/03/2022,"Film, TV, radio and photography",108
01/03/2022,"Museums, Galleries and Libraries",99
01/03/2022,"Music, performing and visual arts",116
01/04/2022,UK,102
01/04/2022,Design and designer fashion,91
01/04/2022,"Film, TV, radio and photography",106
01/04/2022,"Museums, Galleries and Libraries",99
01/04/2022,"Music, performing and visual arts",112
01/05/2022,UK,102
01/05/2022,Design and designer fashion,94
01/05/2022,"Film, TV, radio and photography",108
01/05/2022,"Museums, Galleries and Libraries",98
01/05/2022,"Music, performing and visual arts",115
01/06/2022,UK,101
01/06/2022,Design and designer fashion,96
01/06/2022,"Film, TV, radio and photography",108
01/06/2022,"Museums, Galleries and Libraries",105
01/06/2022,"Music, performing and visual arts",118
