Country,Continent,MSPR (%),GDP (Billions),Population,GDPPC
Rwanda,Africa,0.7,12.06,13776698,2337
Saudi Arabia,Asia,12.1,1040.17,36408820,46811
Senegal,Africa,0.9,28.435,17316449,3478
Serbia,Europe,12.7,65.037,7221365,19146
Seychelles,Africa,3.5,1.75,107118,25414
Sierra Leone,Africa,1.1,4.268,8605718,1725
Singapore,Asia,20.1,424.431,5975689,97057
Slovakia,Europe,9.7,118.434,5643453,32709
Slovenia,Europe,4.2,63.647,2119844,40067
South Africa,Africa,8.6,426.166,59893885,12032
South Korea,Asia,27,1804.68,51815810,44621
Spain,Europe,13.4,1435.56,47558630,39121
Sri Lanka,Asia,6.8,81.934,21832143,13214
Sudan,Africa,0.4,31.46,46874204,4098
Suriname,South America,3.6,2.988,618040,14513
Sweden,Europe,31.9,621.241,10549347,54146
Switzerland,Europe,16.2,841.969,8740472,72874
Tajikistan,Asia,1.7,7.82,9952787,3676
Tanzania,Africa,1.5,77.506,65497748,2821
Thailand,Asia,13.4,522.012,71697030,18236
Timor-Leste,Asia,2.1,1.92,1341296,3382
Togo,Africa,1.1,8.699,8848699,2199
Tunisia,Africa,5.9,45.642,12356117,10120
Turkey,Asia,11.2,692.38,85341241,30253
Turkmenistan,Asia,1.8,76.591,6430770,16520
Uganda,Africa,0.8,46.377,47249585,2574
Ukraine,Europe,0.9,n/a,39701739,13110
United Arab Emirates,Asia,16.9,501.354,9441129,58753
United Kingdom,United Kingdom*,33.7,3376,67508936,44117
United States,North America,37.2,25346.81,338289857,63416
Uruguay,South America,3.2,64.283,3422794,22459
Uzbekistan,Asia,1.2,73.06,34627652,7449
Vietnam,Asia,3.4,408.947,98186856,10869
Zambia,Africa,0.9,26.665,20017675,3342
Zimbabwe,Africa,0.8,36.387,16320537,2622
