Geography,Year,Meal/Income,,,,,,,,,,,,,,,,,,
North West,2017,3.592163,,,,,,,,,,,,,,,,,,
North West,2018,3.620508,,,,,,,,,,,,,,,,,,
North West,2019,3.479903,,,,,,,,,,,,,,,,,,
North West,2020,3.812907,,,,,,,,,,,,,,,,,,
North West,2021,3.452251,,,,,,,,,,,,,,,,,,
North West,2022,3.224165,,,,,,,,,,,,,,,,,,
Northern Ireland,2003,4.134367,,,,,,,,,,,,,,,,,,
Northern Ireland,2004,4.591667,,,,,,,,,,,,,,,,,,
Northern Ireland,2005,4.881657,,,,,,,,,,,,,,,,,,
Northern Ireland,2006,4.997215,,,,,,,,,,,,,,,,,,
Northern Ireland,2007,4.888306,,,,,,,,,,,,,,,,,,
Northern Ireland,2008,4.717478,,,,,,,,,,,,,,,,,,
Northern Ireland,2009,4.617698,,,,,,,,,,,,,,,,,,
Northern Ireland,2010,4.671882,,,,,,,,,,,,,,,,,,
Northern Ireland,2011,4.954955,,,,,,,,,,,,,,,,,,
Northern Ireland,2012,5.090236,,,,,,,,,,,,,,,,,,
Northern Ireland,2013,5.232029,,,,,,,,,,,,,,,,,,
Northern Ireland,2014,5.173189,,,,,,,,,,,,,,,,,,
Northern Ireland,2015,5.055698,,,,,,,,,,,,,,,,,,
Northern Ireland,2016,5.09165,,,,,,,,,,,,,,,,,,
Northern Ireland,2017,4.871991,,,,,,,,,,,,,,,,,,
Northern Ireland,2018,4.742794,,,,,,,,,,,,,,,,,,
Northern Ireland,2019,4.593639,,,,,,,,,,,,,,,,,,
Northern Ireland,2020,4.652827,,,,,,,,,,,,,,,,,,
Northern Ireland,2021,4.277723,,,,,,,,,,,,,,,,,,
Northern Ireland,2022,3.834808,,,,,,,,,,,,,,,,,,
Scotland,2003,3.625754,,,,,,,,,,,,,,,,,,
Scotland,2004,3.465474,,,,,,,,,,,,,,,,,,
Scotland,2005,3.650364,,,,,,,,,,,,,,,,,,
Scotland,2006,3.552014,,,,,,,,,,,,,,,,,,
Scotland,2007,3.383454,,,,,,,,,,,,,,,,,,
Scotland,2008,3.342699,,,,,,,,,,,,,,,,,,
Scotland,2009,3.349074,,,,,,,,,,,,,,,,,,
Scotland,2010,3.468845,,,,,,,,,,,,,,,,,,
Scotland,2011,3.623846,,,,,,,,,,,,,,,,,,
Scotland,2012,3.570616,,,,,,,,,,,,,,,,,,
Scotland,2013,3.24165,,,,,,,,,,,,,,,,,,
Scotland,2014,3.457273,,,,,,,,,,,,,,,,,,
Scotland,2015,3.533654,,,,,,,,,,,,,,,,,,
Scotland,2016,3.496834,,,,,,,,,,,,,,,,,,
Scotland,2017,3.518354,,,,,,,,,,,,,,,,,,
Scotland,2018,3.570594,,,,,,,,,,,,,,,,,,
Scotland,2019,3.443878,,,,,,,,,,,,,,,,,,
Scotland,2020,3.245307,,,,,,,,,,,,,,,,,,
Scotland,2021,3.133474,,,,,,,,,,,,,,,,,,
Scotland,2022,2.876929,,,,,,,,,,,,,,,,,,
South East,2003,3.126547,,,,,,,,,,,,,,,,,,
South East,2004,3.319331,,,,,,,,,,,,,,,,,,
South East,2005,3.607858,,,,,,,,,,,,,,,,,,
South East,2006,3.656469,,,,,,,,,,,,,,,,,,
South East,2007,3.731286,,,,,,,,,,,,,,,,,,
South East,2008,3.877016,,,,,,,,,,,,,,,,,,
South East,2009,4.019259,,,,,,,,,,,,,,,,,,
South East,2010,4.165288,,,,,,,,,,,,,,,,,,
South East,2011,4.304399,,,,,,,,,,,,,,,,,,
South East,2012,4.21454,,,,,,,,,,,,,,,,,,
South East,2013,4.265693,,,,,,,,,,,,,,,,,,
South East,2014,4.43539,,,,,,,,,,,,,,,,,,
South East,2015,4.228119,,,,,,,,,,,,,,,,,,
South East,2016,3.966539,,,,,,,,,,,,,,,,,,
South East,2017,4.061533,,,,,,,,,,,,,,,,,,
South East,2018,4.144376,,,,,,,,,,,,,,,,,,
South East,2019,3.957532,,,,,,,,,,,,,,,,,,
South East,2020,3.782745,,,,,,,,,,,,,,,,,,
South East,2021,3.426479,,,,,,,,,,,,,,,,,,
